repo_name,repo_url,bo_file_path,Translation Segment Pairs,Tibetan Title,en_file_path,English Title
TMtoh267_84000,https://github.com/MonlamAI/TMtoh267_84000,TMtoh267_84000-bo.txt,135, །དཔང་སྐོང་ཕྱག་བརྒྱ་པ་ཞེས་བྱ་བ།,TMtoh267_84000-en.txt,Calling Witness with a Hundred Prostrations
TMtoh731_84000,https://github.com/MonlamAI/TMtoh731_84000,TMtoh731_84000-bo.txt,106,འཕགས་མ་སྒྲོལ་མ་འཇིགས་པ་བརྒྱད་ལས་སྐྱོབ་པའི་མདོ།,TMtoh731_84000-en.txt,The Noble Sūtra Tārā Who Protects from the Eight Dangers
TMtoh551_84000,https://github.com/MonlamAI/TMtoh551_84000,TMtoh551_84000-bo.txt,21,བཅོམ་ལྡན་འདས་ཀྱིས་འཇམ་དཔལ་རྣོན་པོ་ལ་བསྟོད་པ།,TMtoh551_84000-en.txt,The Blessed One’s Praise of Sharp Mañjuśrī
TMtoh26_84000,https://github.com/MonlamAI/TMtoh26_84000,TMtoh26_84000-bo.txt,30,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཉི་མའི་སྙིང་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།,TMtoh26_84000-en.txt,The Noble Great Vehicle Sūtra The Sūryagarbha Perfection of Wisdom
TMtoh138_84000,https://github.com/MonlamAI/TMtoh138_84000,TMtoh138_84000-bo.txt,2261,འཕགས་པ་འདུས་པ་ཆེན་པོ་རིན་པོ་ཆེ་ཏོག་གི་གཟུངས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།,TMtoh138_84000-en.txt,The Noble Mahāyāna Sūtra The Ratnaketu Dhāraṇī from the Great Collection
TMtoh563_84000,https://github.com/MonlamAI/TMtoh563_84000,TMtoh563_84000-bo.txt,150,གསང་སྔགས་ཆེན་པོ་རྗེས་སུ་འཛིན་པའི་མདོ།,TMtoh563_84000-en.txt,Great Upholder of the Secret Mantra
TMtoh58_84000,https://github.com/MonlamAI/TMtoh58_84000,TMtoh58_84000-bo.txt,318,འཕགས་པ་ཚེ་དང་ལྡན་པ་དགའ་བོ་ལ་མངལ་དུ་འཇུག་པ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།,TMtoh58_84000-en.txt,"The Noble Great Vehicle Sūtra
The Teaching to Venerable Nanda on Entry into the Womb"
TMtoh686_84000,https://github.com/MonlamAI/TMtoh686_84000,TMtoh686_84000-bo.txt,10008,འཕགས་པ་དོན་ཡོད་པའི་ཞགས་པའི་ཆོ་ག་ཞིབ་མོའི་རྒྱལ་པོ།,TMtoh686_84000-en.txt,The Noble Sovereign Ritual of Amoghapāśa
TMtoh1091_84000,https://github.com/MonlamAI/TMtoh1091_84000,TMtoh1091_84000-bo.txt,10,ལྷ་མོ་ནམ་གྲུ་ལ་བསྟོད་པ།,TMtoh1091_84000-en.txt,In Praise of the Goddess Revatī
TMtoh48_84000,https://github.com/MonlamAI/TMtoh48_84000,TMtoh48_84000-bo.txt,1233,འཕགས་པ་རྨི་ལམ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།,TMtoh48_84000-en.txt,The Noble Mahāyāna Sūtra The Teaching on Dreams
TMtoh704_84000,https://github.com/MonlamAI/TMtoh704_84000,TMtoh704_84000-bo.txt,7,དེའི་སྤྱན་སྔར་བའི་ལྕི་བ་ས་ལ་མ་ལྷུང་བས་སོ་སོར་མཎྜལ་བརྒྱད་བྱས་ལ་མཎྜལ་རེ་རེ་ལ་ལན་བཅུ་གསུམ་གྱི་བར་དུ་བཟླས་ལ།,TMtoh704_84000-en.txt,The Dhāraṇī of Siṃhanāda
TMtoh79_84000,https://github.com/MonlamAI/TMtoh79_84000,TMtoh79_84000-bo.txt,565,འཕགས་པ་སངས་རྒྱས་ཀྱི་ཡུལ་བསམ་གྱིས་མི་ཁྱབ་པ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།,TMtoh79_84000-en.txt,The Noble Mahāyāna Sūtra “The Teaching on the Inconceivable Scope of a Buddha”
TMtoh185_84000,https://github.com/MonlamAI/TMtoh185_84000,TMtoh185_84000-bo.txt,725,འཕགས་པ་དེ་བཞིན་གཤེགས་པའི་ཡོན་ཏན་དང་ཡེ་ཤེས་བསམ་གྱིས་མི་ཁྱབ་པའི་ཡུལ་ལ་འཇུག་པ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།,TMtoh185_84000-en.txt,The Noble Mahāyāna Sūtra Introduction to the Domain of the Inconceivable Qualities and Wisdom of the Tathāgatas
TMtoh201_84000,https://github.com/MonlamAI/TMtoh201_84000,TMtoh201_84000-bo.txt,1291,འཕགས་པ་དད་པའི་སྟོབས་བསྐྱེད་པ་ལ་འཇུག་པའི་ཕྱག་རྒྱ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།,TMtoh201_84000-en.txt,The Noble Great Vehicle Sūtra The Seal of Engagement in Awakening the Power of Faith
TMtoh61_84000,https://github.com/MonlamAI/TMtoh61_84000,TMtoh61_84000-bo.txt,1796,འཕགས་པ་གང་པོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།,TMtoh61_84000-en.txt,The Noble Great Vehicle Sūtra The Questions of Pūrṇa
TMtoh125_84000,https://github.com/MonlamAI/TMtoh125_84000,TMtoh125_84000-bo.txt,14,འཕགས་པ་གསེར་གྱི་མདོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།,TMtoh125_84000-en.txt,The Gold Sūtra
TMtoh595_84000,https://github.com/MonlamAI/TMtoh595_84000,TMtoh595_84000-bo.txt,122,དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་གཙུག་ཏོར་རྣམ་པར་རྒྱལ་བ་ཞེས་བྱ་བའི་གཟུངས་རྟོག་པ་དང་བཅས་པ,TMtoh595_84000-en.txt,The Uṣṇīṣavijayā Dhāraṇī with Its Ritual Manual
TMtoh605_84000,https://github.com/MonlamAI/TMtoh605_84000,TMtoh605_84000-bo.txt,25,འཕགས་པ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་གཟུངས་ཞེས་བྱ་བ།,TMtoh605_84000-en.txt,The Noble Dhāraṇī of Vajrabhairava
TMtoh190_84000,https://github.com/MonlamAI/TMtoh190_84000,TMtoh190_84000-bo.txt,703,འཕགས་པ་བུད་མེད་འགྱུར་བ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།,TMtoh190_84000-en.txt,The Noble Great Vehicle Sūtra The Prophecy Concerning Strīvivarta
TMtoh514_84000,https://github.com/MonlamAI/TMtoh514_84000,TMtoh514_84000-bo.txt,54,འཕགས་པ་སངས་རྒྱས་ཀྱི་སྙིང་པོ་ཞེས་བྱ་བའི་གཟུངས་ཀྱི་ཆོས་ཀྱི་རྣམ་གྲངས།,TMtoh514_84000-en.txt,The Discourse of the Dhāraṇī The Buddha’s Essence
TMtoh278_84000,https://github.com/MonlamAI/TMtoh278_84000,TMtoh278_84000-bo.txt,47,འཕགས་པ་བཀྲ་ཤིས་བརྒྱད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།,TMtoh278_84000-en.txt,The Noble Mahāyāna Sūtra es
